date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:17	66273/66273	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Feb%202024%2017:09:12%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/index.html	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/index.html	(from )
18:13:17	70/70	U-----	200	untouched ('OK')	text/plain	etag:%22558-1721807450;gz%22	https://nextgenerationdev.com/robots.txt		(from )
18:13:18	28885/28885	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Jul%202023%2020:47:00%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/assets/img/favicon/favicon.png	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/assets/img/favicon/favicon.png	(from https://nextgenerationdev.com/demos/html/salud/salud/index.html)
18:13:18	194901/194901	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Nov%202022%2005:23:16%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/assets/css/bootstrap.min.css	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/assets/css/bootstrap.min.css	(from https://nextgenerationdev.com/demos/html/salud/salud/index.html)
18:13:19	3434/3434	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20May%202022%2010:28:16%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/assets/css/odometer.css	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/assets/css/odometer.css	(from https://nextgenerationdev.com/demos/html/salud/salud/index.html)
18:13:19	4332/4332	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202022%2021:58:52%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/assets/css/owl.min.css	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/assets/css/owl.min.css	(from https://nextgenerationdev.com/demos/html/salud/salud/index.html)
18:13:19	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2023:22:10%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/assets/css/owl.theme.default.min.css	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/assets/css/owl.theme.default.min.css	(from https://nextgenerationdev.com/demos/html/salud/salud/index.html)
18:13:19	492093/492093	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2028%20Aug%202022%2003:30:42%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/assets/css/bootstrap.css.map	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/assets/css/bootstrap.css.map	(from https://nextgenerationdev.com/demos/html/salud/salud/index.html)
18:13:20	101709/101709	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20Jul%202022%2001:21:36%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/assets/css/all.min.css	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/assets/css/all.min.css	(from https://nextgenerationdev.com/demos/html/salud/salud/index.html)
18:13:20	57095/57095	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Aug%202022%2001:13:42%20GMT	https://nextgenerationdev.com/demos/html/salud/salud/assets/css/animate.css	C:/Users/Utilizador/Desktop/Levi/training/nextgenerationdev.com/demos/html/salud/salud/assets/css/animate.css	(from https://nextgenerationdev.com/demos/html/salud/salud/index.html)
